Year,Month,Day,Hour,Minute,Temperature,Dew Point Temperature,Relative Humidity,Atmospheric Pressure,Wind Direction,Wind Speed,Total Sky Cover,Opaque Sky Cover,Global Horizontal Radiation,Direct Normal Radiation,Diffuse Horizontal Radiation,Global Horizontal Illuminance,Direct Normal Illuminance,Diffuse Horizontal Illuminance,Zenith Luminance,Snow Depth,Precipitable Water,Aerosol Optical Depth,Albedo,Liquid Precipitation Depth,Liquid Precipitation Quantity
1987,1,1,1,0,2.8,1.7,93,101600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,999.0,999.0,99.0
1987,1,1,2,0,2.8,1.7,93,101600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,999.0,999.0,99.0
1987,1,1,3,0,2.2,1.7,96,101600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,999.0,999.0,99.0
1987,1,1,4,0,1.7,0.6,92,101700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,999.0,999.0,99.0
1987,1,1,5,0,1.7,1.1,96,101700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,999.0,999.0,99.0
1987,1,1,6,0,1.1,0.6,96,101700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,999.0,999.0,99.0
1987,1,1,7,0,1.7,0.6,92,101800,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,999.0,999.0,99.0
1987,1,1,8,0,1.1,0.6,96,101900,0.0,0.0,2.0,2.0,29.0,107.0,19.0,2784.0,4352.0,2491.0,332.0,0.0,100.0,0.051,999.0,999.0,99.0
1987,1,1,9,0,6.7,3.9,83,101900,20.0,2.1,2.0,2.0,165.0,537.0,47.0,17130.0,42924.0,7710.0,877.0,0.0,120.0,0.051,999.0,999.0,99.0
1987,1,1,10,0,10.6,5.6,72,102100,0.0,0.0,1.0,1.0,342.0,764.0,50.0,35941.0,71833.0,8563.0,1180.0,0.0,129.0,0.051,999.0,999.0,99.0
1987,1,1,11,0,12.8,2.8,51,102000,340.0,3.1,1.0,1.0,486.0,838.0,63.0,50927.0,81722.0,9743.0,1500.0,0.0,110.0,0.051,999.0,999.0,99.0
1987,1,1,12,0,14.4,2.2,44,102000,310.0,4.1,2.0,2.0,548.0,768.0,103.0,57365.0,76255.0,13191.0,2316.0,0.0,110.0,0.051,999.0,999.0,99.0
1987,1,1,13,0,16.7,2.8,40,101900,10.0,5.2,1.0,1.0,603.0,895.0,65.0,63367.0,88645.0,10008.0,1712.0,0.0,110.0,0.051,999.0,999.0,99.0
1987,1,1,14,0,17.2,0.6,33,101800,360.0,4.1,1.0,1.0,540.0,839.0,63.0,56878.0,82777.0,9664.0,1623.0,0.0,100.0,0.051,999.0,999.0,99.0
1987,1,1,15,0,16.7,-0.6,31,101800,330.0,4.6,2.0,2.0,439.0,710.0,95.0,46757.0,70229.0,12572.0,2045.0,0.0,89.0,0.051,999.0,999.0,99.0
1987,1,1,16,0,16.7,-0.6,31,101800,350.0,4.1,4.0,4.0,273.0,495.0,97.0,28141.0,45413.0,11936.0,1818.0,0.0,89.0,0.051,999.0,999.0,99.0
1987,1,1,17,0,15.0,0.6,38,101800,30.0,3.6,4.0,4.0,109.0,259.0,61.0,11479.0,18935.0,7885.0,1107.0,0.0,100.0,0.051,999.0,999.0,99.0
1987,1,1,18,0,11.7,1.1,49,101800,10.0,2.1,4.0,4.0,19.0,24.0,17.0,2016.0,938.0,1968.0,350.0,0.0,100.0,0.051,999.0,999.0,99.0
1987,1,1,19,0,7.2,2.2,71,101900,320.0,2.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.051,999.0,999.0,99.0
1987,1,1,20,0,6.1,2.2,76,102000,330.0,2.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.051,999.0,999.0,99.0
1987,1,1,21,0,6.7,1.1,68,102000,300.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.051,999.0,999.0,99.0
1987,1,1,22,0,4.4,1.7,82,102000,320.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.051,999.0,999.0,99.0
